ID,ID_CLIENTE,ID_SERVICIO,FECHA_INICIO,FECHA_FIN
1,1,1,2023-08-01,2023-08-02
2,1,2,2023-08-02,2023-08-05
3,2,1,2023-08-13,2023-08-14
4,3,2,2023-08-15,2023-08-18
5,3,3,2023-08-21,2023-08-25
6,4,4,2023-08-02,2023-08-02
7,4,5,2023-08-01,2023-08-02
8,4,5,2023-08-01,2023-08-02
9,5,3,2023-08-01,2023-08-02
10,5,3,2023-08-07,2023-08-08
11,5,6,2023-08-09,2023-08-09
12,5,1,2023-08-10,2023-08-12
13,6,6,2023-08-10,2023-08-11
14,7,5,2023-08-10,2023-08-12
15,8,1,2023-08-01,2023-08-02
16,8,1,2023-08-01,2023-08-02
17,8,1,2023-08-10,2023-08-11
18,8,1,2023-08-20,2023-08-20
19,9,2,2023-08-01,2023-08-02
20,10,3,2023-08-13,2023-08-15
21,11,4,2023-08-23,2023-08-23
22,12,5,2023-08-22,2023-08-22
